xml:id,country,settlement,repository,idno,altIdentifier 1,altIdentifier 2,name,head,history,adminInfo,note,catalog link,surrogate
BNangl39,France,Paris,Bibliothèque nationale de France,angl. 39,,,,,,,,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc102898m,https://gallica.bnf.fr/ark:/12148/btv1b10091622s
BNangl41,France,Paris,Bibliothèque nationale de France,angl. 41,,,,,,,,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc102899w,https://gallica.bnf.fr/ark:/12148/btv1b10027891w
BNfr1104,France,Paris,Bibliothèque nationale de France,fr. 1104,,,,,,,,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc42446s,https://gallica.bnf.fr/ark:/12148/btv1b10026274s
BNfr12154,France,Paris,Bibliothèque nationale de France,fr. 12154,,,,,,,,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc433470,https://gallica.bnf.fr/ark:/12148/btv1b100005084/f998
BNfr13342,France,Paris,Bibliothèque nationale de France,fr. 13342,,,,,,,,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc44177d,https://gallica.bnf.fr/ark:/12148/btv1b105094193
BNfr1830,France,Paris,Bibliothèque nationale de France,fr. 1830,,,,,,,,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc476383,https://gallica.bnf.fr/ark:/12148/btv1b8529521j
BNfr25458,France,Paris,Bibliothèque nationale de France,fr. 25458,,,,,,,,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc538881,https://gallica.bnf.fr/ark:/12148/btv1b105325836
BNfr7011,France,Paris,Bibliothèque nationale de France,fr. 7011,,,,,,,,,
BNlat3638,France,Paris,Bibliothèque nationale de France,lat. 3638,,,,,,,,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc61581n,https://gallica.bnf.fr/ark:/12148/btv1b55009310b
BNnalat693,France,Paris,Bibliothèque nationale de France,n.a. lat. 693,,,,,,,,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc62147q,https://gallica.bnf.fr/ark:/12148/btv1b10039187h
SteGene3390,France,Paris,Bibliothèque Ste Geneviève,3390,,,,,,,,https://calames.abes.fr/pub/bsg.aspx#details?id=BSGC11723,
BerlinPhill,Germany,Berlin,Staatsbibliothek zu Berlin,Phill. 1904,,,,,,,,https://resolver.staatsbibliothek-berlin.de/HSP0003FEC500000000,https://handschriftenportal.de/workspace?type=iiif%3Amanifest&id=https%3A%2F%2Fcontent.staatsbibliothek-berlin.de%2Fdc%2F887311083%2Fmanifest&page=1
BerlinTheol,Germany,Berlin,Staatsbibliothek zu Berlin,Theol. lat. fol 249,,,,,,,,https://resolver.staatsbibliothek-berlin.de/HSP0004015900000000,
Erfurt,Germany,Erfurt,Stadt- und Regionalbibliothek,Amplon Oct. 58,,,,,,,,,
GottingenHis740,Germany,Göttingen,Niedersächsische Staats- und Universitätsbibliothek,MS 2o Cod. hist. 740 Cim.,,,,,,,,https://opac.sub.uni-goettingen.de/DB=1/PPN?PPN=1012142418,https://gdz.sub.uni-goettingen.de/id/PPN1012142418
GottingenPhil163,Germany,Göttingen,Niedersächsische Staats- und Universitätsbibliothek,Philol.163 n,,,,,,,,https://kalliope-verbund.info/DE-611-HS-3558283,https://gdz.sub.uni-goettingen.de/id/DE-611-HS-3558283
GottingenTheo107,Germany,Göttingen,Niedersächsische Staats- und Universitätsbibliothek,Theol.107,,,,,,,,https://kalliope-verbund.info/DE-611-HS-3560553,https://gdz.sub.uni-goettingen.de/id/DE-611-HS-3560553
Wolfenb2819,Germany,Wolfenbüttel,Herzoglichen Bibliothek,2819,,,,,,,,https://diglib.hab.de/?db=mss&list=ms&id=81-29-aug-2f,https://diglib.hab.de/?db=mss&list=ms&id=81-29-aug-2f
DublinStaPap,Ireland,Dublin,?State Paper Office (c. 1600),unknown,,,,,,,,,
DublinChrCh,Ireland,Dublin,Christ Church Cathedral,none,olim Vellum Account Roll 1337-1346,,,,,Burned in 1922,,,
DublinNatLib1435,Ireland,Dublin,National Library of Ireland,D 1435,olim Kilkenny Castle,,,,,,,https://catalogue.nli.ie/Record/vtls000931243,https://catalogue.nli.ie/Record/vtls000931243
DublinRepBlack,Ireland,Dublin,Representative Church Body Library,Black Book of Christ Church,,,,,,,,https://virtualtreasury.ie/item/RCBL-C6-1-1,
DublinRepD11,Ireland,Dublin,Representative Church Body Library,D11.1.2,"olim Kilkenny, St Canice's Library",,Red Book of Ossory,,,,,,https://issuu.com/churchofireland/docs/redbookossory
TCD67,Ireland,Dublin,Trinity College Dublin,67,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677122__Sms%2067__Ff%3Afacetcollections%3A4%3A4%3AManuscripts%20and%20Archives%3A%3A__Orightresult__X3?lang=eng&suite=cobalt,
TCD69,Ireland,Dublin,Trinity College Dublin,69,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20268389__Sms%2069__Orightresult__U__X6?lang=eng&suite=cobalt,https://digitalcollections.tcd.ie/concern/works/gb19ff152
TCD70,Ireland,Dublin,Trinity College Dublin,70,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677125__Sms%2070__P0%2C1__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD76,Ireland,Dublin,Trinity College Dublin,76,,,,,,,,,
TCD83,Ireland,Dublin,Trinity College Dublin,83,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677137__Stcd%20ms%2083__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD97,Ireland,Dublin,Trinity College Dublin,97,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677151__Stcd%20ms%2097__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD155,Ireland,Dublin,Trinity College Dublin,155,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb21229658__Stcd%20ms%20155__Orightresult__U__X6?lang=eng&suite=cobalt,https://digitalcollections.tcd.ie/concern/works/3j333d016
TCD156,Ireland,Dublin,Trinity College Dublin,156,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20392021__Stcd%20ms%20156__Orightresult__U__X6?lang=eng&suite=cobalt,https://digitalcollections.tcd.ie/concern/works/cn69md42n
TCD157,Ireland,Dublin,Trinity College Dublin,157,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20397924__Stcd%20ms%20157__Orightresult__U__X6?lang=eng&suite=cobalt,https://digitalcollections.tcd.ie/concern/works/cc08hr478
TCD158,Ireland,Dublin,Trinity College Dublin,158,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20294922__Stcd%20ms%20158__Orightresult__U__X6?lang=eng&suite=cobalt,https://digitalcollections.tcd.ie/concern/works/bk128k29r
TCD159,Ireland,Dublin,Trinity College Dublin,159,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677210__Stcd%20ms%20159__P0%2C1__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD160,Ireland,Dublin,Trinity College Dublin,160,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677211__Stcd%20ms%20160__P0%2C1__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD174,Ireland,Dublin,Trinity College Dublin,174,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20705155__Stcd%20ms%20174__Orightresult__U__X6?lang=eng&suite=cobalt,https://digitalcollections.tcd.ie/concern/works/6t053p10f
TCD211,Ireland,Dublin,Trinity College Dublin,211,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677261__Stcd%20ms%20211__P0%2C1__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD212,Ireland,Dublin,Trinity College Dublin,212,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677262__Stcd%20ms%20212__P0%2C1__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD213,Ireland,Dublin,Trinity College Dublin,213,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677263__Stcd%20ms%20213__P0%2C2__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD214,Ireland,Dublin,Trinity College Dublin,214,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677264__Stcd%20ms%20214__P0%2C1__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD223,Ireland,Dublin,Trinity College Dublin,223,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677273__Stcd%20ms%20223__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD230,Ireland,Dublin,Trinity College Dublin,230,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677279__Stcd%20ms%20230__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD243,Ireland,Dublin,Trinity College Dublin,243,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677290__Stcd%20ms%20243__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD270,Ireland,Dublin,Trinity College Dublin,270,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb19720737__Stcd%20ms%20270__P0%2C5__Orightresult__U__X6?lang=eng&suite=cobalt,https://digitalcollections.tcd.ie/concern/works/jm214x02z
TCD277,Ireland,Dublin,Trinity College Dublin,277,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677325__Stcd%20ms%20277__P0%2C1__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD301,Ireland,Dublin,Trinity College Dublin,301,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb19801487__Stcd%20ms%20301__Orightresult__U__X6?lang=eng&suite=cobalt,https://digitalcollections.tcd.ie/concern/works/z603r548s
TCD312,Ireland,Dublin,Trinity College Dublin,312,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677360__Stcd%20ms%20312__P0%2C1__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD313,Ireland,Dublin,Trinity College Dublin,313,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677361__Stcd%20ms%20313__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD317,Ireland,Dublin,Trinity College Dublin,317,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677365__Stcd%20ms%20317__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD319,Ireland,Dublin,Trinity College Dublin,319,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677367__Stcd%20ms%20319__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD340,Ireland,Dublin,Trinity College Dublin,340,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677386__Stcd%20ms%20340__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD347,Ireland,Dublin,Trinity College Dublin,347,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677392__Stcd%20ms%20347__P0%2C1__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD351,Ireland,Dublin,Trinity College Dublin,351,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677396__Stcd%20ms%20351__P0%2C1__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD389,Ireland,Dublin,Trinity College Dublin,389,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677445__Stcd%20ms%20389__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD423,Ireland,Dublin,Trinity College Dublin,423,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677475__Stcd%20ms%20423__P0%2C2__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD432,Ireland,Dublin,Trinity College Dublin,432,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20356319__Stcd%20ms%20432__Orightresult__U__X6?lang=eng&suite=cobalt,
TCD490,Ireland,Dublin,Trinity College Dublin,490,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677520__Stcd%20ms%20490__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD499,Ireland,Dublin,Trinity College Dublin,499,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677529__Stcd%20ms%20499__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD500,Ireland,Dublin,Trinity College Dublin,500,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677530__Stcd%20ms%20500__P0%2C2__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD509,Ireland,Dublin,Trinity College Dublin,509,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb21231188__Stcd%20ms%20509__Orightresult__U__X6?lang=eng&suite=cobalt,https://digitalcollections.tcd.ie/concern/works/th83m8103
TCD516,Ireland,Dublin,Trinity College Dublin,516,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb21217210__Stcd%20ms%20516__Orightresult__U__X6?lang=eng&suite=cobalt,https://digitalcollections.tcd.ie/concern/works/hd76s9427
TCD517,Ireland,Dublin,Trinity College Dublin,517,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677547__Stcd%20ms%20517__P0%2C2__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD519,Ireland,Dublin,Trinity College Dublin,519,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20705237__Stcd%20ms%20519__Orightresult__U__X6?lang=eng&suite=cobalt,https://digitalcollections.tcd.ie/concern/works/qn59qb40f
TCD537,Ireland,Dublin,Trinity College Dublin,537,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677567__Stcd%20ms%20537__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD641,Ireland,Dublin,Trinity College Dublin,641,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677671__Stcd%20ms%20641__P0%2C1__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD652,Ireland,Dublin,Trinity College Dublin,652,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677682__Stcd%20ms%20652__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD661,Ireland,Dublin,Trinity College Dublin,661,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677690__Stcd%20ms%20661__P0%2C1__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD662,Ireland,Dublin,Trinity College Dublin,662,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677691__Stcd%20ms%20662__P0%2C1__Orightresult__U__X3?lang=eng&suite=cobalt,
TCD684,Ireland,Dublin,Trinity College Dublin,684,,,,,,,,https://stella.catalogue.tcd.ie/iii/encore/record/C__Rb20677713__Stcd%20ms%20684__Orightresult__U__X3?lang=eng&suite=cobalt,
KilkennyCorp,Ireland,Kilkenny,Kilkenny Corporation Archives,Liber primus Kilkenniensis,,,,,,,,https://www.isos.dias.ie/KILKENNY/KILKENNY_Liber_Primus_Kilkenniensis.html,https://www.isos.dias.ie/KILKENNY/KILKENNY_Liber_Primus_Kilkenniensis.html
NapXIIIB29,Italy,Naples,Biblioteca nazionale,XIII.B.29,,,,,,,,https://polosbn.bnnonline.it/SebinaOpac/resource/un-ricettario-in-lingua-inglese-del-14-secolo-bibl-naz-napoli-cod-13-b-29/NAP0396062?sysb=NAPBN,
Pavia,Italy,Pavia,Pavia University Library,69,,,,,,,,,
VaticanBorg,Italy,Rome,Biblioteca Apostolica Vaticana,Borghese 298,,,,,,,,https://digi.vatlib.it/mss/detail/Borgh.298,https://digi.vatlib.it/view/MSS_Borgh.298
VaticanOtto,Italy,Rome,Biblioteca Apostolica Vaticana,Ottoboni 626,,,,,,,,,
RomeEC1306,Italy,Rome,Collegio Inglese,AVCAU MS Liber 1405,,,,,,,,https://www.vecheritage.org/visit-the-reading-room#catalogue,
Trento,Italy,Trento,Biblioteca capitolare,Codex 88,,,,,,,,https://manus.iccu.sbn.it/risultati-ricerca-manoscritti/-/manus-search/detail/1733283?struct%3A7007=ricerca.parole_tutte%3A4%3D6&struct%3A1016=ricerca.parole_tutte%3A4%3D6&struct%3A4091=ricerca.parole_tutte%3A4%3D6&struct%3A3041=ricerca.parole_tutte%3A4%3D6&struct%3A5003=ricerca.parole_tutte%3A4%3D6&struct%3A5005=ricerca.parole_tutte%3A4%3D6&struct%3A5004=ricerca.parole_tutte%3A4%3D6&struct%3A5091=ricerca.parole_tutte%3A4%3D6&item%3A1016%3AKeywords=cod.+88&fieldstruct%5B0%5D=ricerca.parole_tutte%3A4%3D6&fieldaccess%5B0%5D=nome_t%3A1003&struct%3A20044=ricerca.parole_tutte%3A4%3D6&struct%3A4=ricerca.parole_tutte%3A4%3D6&struct%3A20046=ricerca.parole_tutte%3A4%3D6&struct%3A9041=ricerca.parole_tutte%3A4%3D6&struct%3A5041=ricerca.parole_tutte%3A4%3D6&page=6,
Vercelli,Italy,Vercelli,Biblioteca capitolare,MS CCXXV,,,,,,,,https://manus.iccu.sbn.it/risultati-ricerca-manoscritti/-/manus-search/detail/812130?struct%3A7007=ricerca.parole_tutte%3A4%3D6&struct%3A1016=ricerca.parole_tutte%3A4%3D6&struct%3A4091=ricerca.parole_tutte%3A4%3D6&struct%3A3041=ricerca.parole_tutte%3A4%3D6&struct%3A5003=ricerca.parole_tutte%3A4%3D6&struct%3A5005=ricerca.parole_tutte%3A4%3D6&struct%3A5004=ricerca.parole_tutte%3A4%3D6&struct%3A5091=ricerca.parole_tutte%3A4%3D6&item%3A1016%3AKeywords=ccxxv&fieldstruct%5B0%5D=ricerca.parole_tutte%3A4%3D6&fieldaccess%5B0%5D=nome_t%3A1003&struct%3A20044=ricerca.parole_tutte%3A4%3D6&struct%3A4=ricerca.parole_tutte%3A4%3D6&struct%3A20046=ricerca.parole_tutte%3A4%3D6&struct%3A9041=ricerca.parole_tutte%3A4%3D6&struct%3A5041=ricerca.parole_tutte%3A4%3D6&,
KeioHopton,Japan,Tokyo,Keio University Library,Hopton Hall MS,"olim Hopton Hall, Sotheby 1989, post Quaritch",,,,,,,https://search.lib.keio.ac.jp/permalink/81SOKEI_KEIO/188bto4/alma990014025820204034,
TokyoAsahata,Japan,Tokyo,S. Asahata,,"olim Bute 13, Sotheby's 13 June 1983",,,,,,,,
Senshu1,Japan,Tokyo,Senshu University Library,Senshu University MS 1,olim Schøyen 194; post Penrose 12,,,,,,,https://www.senshu-u.ac.jp/socio/ms_anglo/MS01_english.html,
AmsterdamBPHM199,Netherlands,Amsterdam,Bibliotheca Philosophica Hermetica,MS M 199,olim Christie's catalogue 26 June 1991,,,,,,,https://embassyofthefreemind.com/en/library/online-catalogue/detail/971ddf7a-7a5c-5f31-03a1-46a584b7673b/media/undefined,
Leiden,Netherlands,Leiden,Universiteits­bibliotheek,Vossius Germ. Gall. Q.9,,,,,,,,http://hdl.handle.net/1887.1/item:1523394,http://hdl.handle.net/1887.1/item:1523394
NijmegenUL194,Netherlands,Nijmegen,Universiteitsbibliotheek,194,,,,,,,,https://ru.on.worldcat.org/oclc/868154014,
HagueKB135G18,Netherlands,The Hague,Nationale Bibliotheek,135.G.18,,,,,,,,,
Wellington140,New Zealand,Wellington,Alexander Turnbull Library,MS 140,,,,,,,,,
Schoyen33,Norway,Oslo and London,Schøyen Collection,33,,,,,,,,https://www.schoyencollection.com/history-collection-introduction/medieval-history-collection/chronicles-kings-england-ms-033,
Schoyen689,Norway,Oslo and London,Schøyen Collection,689,"olim Windsor, Beaumont College, sold Christie's 28 June 1973, lot 48",,,,,,,,
Schoyen16772,Norway,Oslo and London,Schøyen Collection,1677/2,"olim Phillipps (single leaf), sold Sotheby's, London, 21-2 June 1993, lot 49",,,,,,,https://onlineonly.christies.com/s/history-western-music-manuscripts-schoyen-collection/st-gall-neumes-early-german-neumes-13/197927,
Leningrad,Russia,Saint Petersburg,Saltykov-Schedrin Library,O.v.XIV.1,,,,,,,,,
EscorIVa24,Spain,Madrid,Real Biblioteca del Monasterio de El Escorial,a-IV-24,IV. a. 24,,,,,,,https://rbme.patrimonionacional.es/s/rbme/item/15082,https://rbme.patrimonionacional.es/s/rbme/item/15082
EscorGII19,Spain,Madrid,Real Biblioteca del Monasterio de El Escorial,g-II-19,,,,,,,,https://rbme.patrimonionacional.es/s/rbme/item/15082,https://rbme.patrimonionacional.es/s/rbme/item/13591
StockhX90,Sweden,Stockholm,Kungliga biblioteket,X.90,,,,,,,,https://kortkataloger.kb.se/hsnominal/21655/,
UppsalaC494,Sweden,Uppsala,Universitets­bibli‍otek,C.494,,,,,,,,https://uub.primo.exlibrisgroup.com/permalink/46LIBRIS_UUB/d23b4h/alma991018899779507596,
Basel,Switzerland,Basel,Universitätsbibliothek,B.VIII.4,,,,,,,,https://swisscollections.ch/Record/991170524909705501?sid=171682308,
Bodmer110,Switzerland,Cologny (Geneva),Fondation Martin Bodmer,Cod. Bodmer 110,olim Harmsworth,,,,"Sotheby's Sale, Oct. 1945, lot 1963",,,https://www.e-codices.unifr.ch/en/description/fmb/cb-0110/Mooney,https://www.e-codices.unifr.ch/en/fmb/cb-0110/
Bodmer48,Switzerland,Cologny (Geneva),Fondation Martin Bodmer,Cod. Bodmer 48,"olim Rosenbach 156, prior Phillipps 8136",,,,,,,https://www.e-codices.unifr.ch/en/list/one/fmb/cb-0048,http://www.e-codices.unifr.ch/en/cb/0048
Bodmer178,Switzerland,Cologny (Geneva),Private owner,Martin Bodmer MS CB 178,olim Gurney 121,,,,,,,,
AbeSas1,UK,Aberdeen,Aberdeen City Archives,"City Charter Room Sasine Register, 1.774",,,,,,,,,
AbeSeis2,UK,Aberdeen,Aberdeen City Archives,Minute Book of Seisins ii,,,,,,,,,
AbeSeis3,UK,Aberdeen,Aberdeen City Archives,Minute Book of Seisins iii,,,,,,,,,
AbeUL21,UK,Aberdeen,Aberdeen University Library,21,,,,,,,,https://abdn.primo.exlibrisgroup.com/permalink/44ABE_INST/1jd70l9/alma9918398447805941,
AbeUL123,UK,Aberdeen,Aberdeen University Library,123,,,,,,,,https://abdn.primo.exlibrisgroup.com/permalink/44ABE_INST/1jd70l9/alma9918398028005941,
AbeUL154,UK,Aberdeen,Aberdeen University Library,154,,,,,,,,,
AbeUL223,UK,Aberdeen,Aberdeen University Library,223,,,,,,,,https://abdn.primo.exlibrisgroup.com/permalink/44ABE_INST/1jd70l9/alma9918390320805941,
AbeUL258,UK,Aberdeen,Aberdeen University Library,258,,,,,,,,https://abdn.primo.exlibrisgroup.com/permalink/44ABE_INST/1jd70l9/alma9918394722205941,
NLWAd.441C,UK,Aberystwyth,National Library of Wales,Add. 441C,,,,,,,,,
NLWPork10,UK,Aberystwyth,National Library of Wales,Brogyntyn ii.1,olim Porkington 10,,,,,,,https://discover.library.wales/permalink/44WHELF_NLW/6kpfmq/alma992484324902419,https://viewer.library.wales/4398349
