subject,category
Holy Ghost,
Holy Innocents,
honor,
hope,
horses,
"Howard, John, duke of Norfolk",
humility,
"Humphrey, duke of Buckingham",
"Humphrey, duke of Gloucester",
"Hunt, Roger and Joan, of Gt. Linford (Bucks.)",
hunting,
husbandry,
husbands,
"Hyginus, pope",
"Hylton, Robert",
hymns,
"Idley [Idle], Peter, of Dorchester (Oxon.)",
"Ignatius, saint",
"Illurin, saint",
impossibilities,
Incarnation,
incest,
indulgences,
infidelity,
ingratitude,
innocence,
"Innocent I, pope",
inscriptions,transmission
instruction,
introductions,
introductions to prose texts,
Ireland,
irregular,form
Isaac,
"Isabelle, countess of Warwick",
Italy,
Jacqueline of Hainault,
"Jacques (James Intercisus) the martyr, saint",
"James I, king of Scotland",
"James IV, king of Scotland",
"James the Great, saint",
"James the Less, saint",
"James, saint",
"Jannys, Robert",
"Jerome, saint",
Jerusalem,
Jews,
Joachim and Anna,
Job,
"John of Beverley, saint",
"John Stewart, duke of Albany",
"John the apostle, saint",
"John the Baptist, saint",
"John the Evangelist, saint",
"John, duke of Bedford",
"John, duke of Burgundy",
"Jon, Piers and Elizabeth",
"Jons, R.",
Joseph,
Joseph and Aseneth,
"Joseph of Arimathea, saint",
"Joseph, father of Jesus",
"journeys, prognostications concerning",
Judas Iscariot,
judges,
"Julian Hosteler, saint",
"Julian the apostate, emperor",
"Julian the confessor, saint",
"Juliana, saint",
justice,
"Justina, saint",
"Katherine of Alexandria, saint",
"Katherine of Sinai, saint",
"Kenelm, saint",
Kent,
Kildare (Ire.),
King John,
kings of England,
kings of France,
kingship,
kisses,
"knights, behavior of",
"Knolles, Thomas",
"Knowles, Thomas, of London",
laments,
Lancashire,
Last Supper,
law,
"Lawrence, saint",
Lazarus,
lechery,
legends,
"Leger, saint",
Lent,
"Leo II, pope",
"Leonard, saint",
letters,
"Leuckin, John, of London",
"Lewes, battle",
"life, transience of",
links,
litanies,
liturgical texts,
Llywelyn ap Gruffudd,
"lodging, terms of",
Lollardy,
London,
"London, William, of Norwich(?)",
"Longinus, saint",
Lord's Prayer,
"Louis, duke of Orleans",
"Louis, saint",
love,
love letters,
love lyrics,
"love, constancy in",
"love, divine and human",
"love, unrequited",
"love, vicissitudes of",
lucky and unlucky days,
"Lucy, saint",
"Luke, saint",
lullabies,
lyrics,
"Macarius, saint",
"Machor, saint",
madness,
Magi,
man,
"Maners, John",
manners,
"Mansfield, Richard, of Taplow (Bucks.)",
"Margaret of Anjou, queen",
"Margaret Tudor, queen of Scotland",
"Margaret, praise of",
"Margaret, queen of England",
"Margaret, saint",
"Marina, saint",
"Marius, saint",
"Marjory, countess of Dunbar",
"Mark, saint",
marriage,
"Marshall, Richard",
"Marsham, John, Mayor of Norwich",
"Martha, saint",
"Martin, saint",
"Martyn, Christopher",
"Mary Magdalene, saint",
"Mary of Egypt, saint",
"Mary, princess",
Mass,
"Mathias, saint",
"Matthew, saint",
Mawryne the monk,
"May, poems of",
"May, songs of",
medicine,
meditations,
"Melchiades [Miltiades], pope",
"men, treachery of",
"men, worthy types of",
merchants,
mercy,
Merlin,
"Methodius, saint",
"Michael the archangel, saint",
"Middletone, Thomas",
"Mildred, saint",
miracle plays,
miracles,
mnemonics,
moderation,
"Moleyns, Katherine, dame, prioress of Kingston S. Michael (Wilts.)",
"Molins, Anne",
"monastic rules, in English verse",
money,
monks,
"moon, changes of",
"Moor, Elizabeth",
morality,
morality plays,
mortality,
"Morton, John, bishop of Ely",
mothers,
mothers and daughters,
mottoes,
music,
mutability,
mystery plays,
Nativity,
"Nativity, songs of the (not carols)",
Nature,
"Neville's Cross, battle of",
"Neville, Richard, 16th Earl of Warwick",
"Neville, Robert de",
New Year,
"Nicholas, saint",
"Ninian, saint",
Noah,
nonsense,
"Norbert, saint",
"Norbury, John",
"Nordell, Richard, of London",
"Normandy, battle of",
"Norray, Thomas, sir",
"Northampton, battle of",
Norwich,
"Nottingham, Harry, of Holme-by-the-sea (Norf.)",
nuns,
"Nycasie, saint",
oaths,
obedience,
occasional verse,
occupations,
odes,
old age,
Old Testament,
"Orleans, duke of",
"Ositha, saint",
"Oswald, bishop",
"Oswald, king",
"Oswin, saint",
"Otterburn, battle of",
"Otto IV, king of Germany",
"Owre, Donald",
pageant verses,
pageants,
"Palaan, king",
Pallas the giant,
"Palm Sunday, ceremonial verses for",
"Palmer, Thomas, of Snodland (Kent)",
paradoxes,
paraphrases,
"pardon, promise of",
parodies,
Passion,
"Paston, Elizabeth",
"Paston, John",
"Paston, John II",
"Paston, John III",
"Paston, Margaret",
patience,
patriarchy,
"Patrick, saint",
patronage,
"Paul(in) the Hermit, saint",
"Paul, saint",
"Paula, saint",
"Payne, Richard, of London",
peace,
Peasants' Revolt (1381),
"Pelagia, saint",
penance,
penitence,
Pentecost,
"Percy, Henry (Hotspur)",
"Percy, Henry, earl of Northumberland",
"Percy, house of",
"Peres, saint",
pestilence,
"Peter Dominican, saint",
"Peter of Birmingham, lord Tethmoy",
"Peter, saint",
"Petronilla, saint",
"Philip II, king of France",
"Philip VI, king of France",
"Philip, duke of Burgundy",
"Philip, saint",
philosopher's stone,
"Pickering, Jon, of London",
Piers Toller,
Pilate,
pilgrimage,
plague,
pleas,
pleasures,
pledges,
plowman,
political poems,
political prophecies,
political verse,
politics,
"Pollard, Walter, book owner, 1444-45",
"Polycena, wife of Marcolphus",
popes,
popular songs,
popular verses,
"possessions, worldly",
poulterers,
poverty,
praise,
prayer,
"prayer, abuse of",
"prayer, for gifts of the Holy Ghost",
"prayer, value of",
prayers,
"prayers, against peril",
"prayers, asked on behalf of scribes",
"prayers, at time of death",
"prayers, bidding",
"prayers, by the Holy Name",
"prayers, domestic",
"prayers, for authors/scribes",
"prayers, for gifts of the Holy Ghost",
"prayers, for pardon",
"prayers, for protection",
"prayers, for the dead",
"prayers, for the nation",
"prayers, for use in church",
"prayers, occasional",
"prayers, of Christ",
"prayers, of confession",
"prayers, of saints",
"prayers, of sinners",
"prayers, on sacraments",
"prayers, on various themes",
"prayers, special occaisions",
"prayers, special occasions",
"prayers, thanksgiving",
"prayers, to Christ",
"prayers, to God",
"prayers, to guardian angel",
"prayers, to Holy Ghost",
"prayers, to Jesus",
"prayers, to saints",
"prayers, to Trinity",
"prayers, to Virgin Mary",
"prayers, to Virgin Mary, and saints",
preaching,
precepts,
"precepts, moral",
prefaces,
"prefaces, to prose texts",
pride,
"pride, against",
priesthood,
"princes, advice to",
"princes, fall of",
printers' prologues,
"printers, comments by",
prison/prisoners,
prisons/prisoners,
prognostications,
prognostics,
prologues,
"prologues, printer's",
"prologues, to prose texts",
prophecies,
"prophecies, Biblical",
"prophecies, political",
prophecy,
"prophecy, political",
prophesies,
"prophesies, political",
protest verse,
proverbs,
"proverbs, Leconfield",
psalms,
"psalms, penitential",
"psalms,penitential",
punctuation poems,
purgatory,
"purgatory, pains of",
"Purification, feast of",
"Purification, feast of [Candlemas]",
purity,
purse poems,
puzzles,
"Pympe, John",
"Pynnoke, John",
"Quartremayns, Richard and Sibil, of Thame (Oxon.)",
quest,
"Quintin, saint, life of",
"Quiriac, saint, life of",
"Ramsey, John",
rats,
"Read, William, of London",
rebellion of 1469,
recipes,
"recipes, culinary",
"recipes, domestic",
"recipes, medical",
"recipes, medicinal",
redemption,
"Redesdale, Robert of",
"Reeves, abbey of",
refrains,
religion,
"religion, difficulty of choosing a profession in",
religious controversy,
religious instruction,
"religious life, bonds of",
religious observance,
"Remigius, saint, life of",
repentance,
repentence,
requital,
revenge,
reverence,
rhetoric,
ribaldry,
ribaudry,
Richard II,
"Richard II, burial of",
"Richard II, deposition of",
Richard III,
"Richard III, as duke of York, attack on",
"Richard of Chichester, saint",
"Richard, earl of Warwick",
riddles,
ring inscriptions,
"Ripon, abbey of",
"Rivers, Earl, Anthony Woodville, Lord Scales and second Earl Rivers",
"Robert de Vere, duke of Ireland (1386-88)",
"Robert II, king of Scotland",
"Robert of Bury, saint",
"Robert of Knaresborough, saint",
Robert of Sicily,
Robert the Devil,
Robin Hood,
"Roch, saint",
Rogationtide,
romances,
Rome,
rosary,
"Rouclyff, Bryan",
"Rouclyff, Johan",
"Rouen, siege of",
roundels,
rounds,
rubrics,
"rubrics, scribal",
"Sacrament, blessed",
sacraments,
sacrifice,
Saint Andrea,
Saint Anne,
Saint Bernard,
Saint Cecilia,
saints,
saints' days,
saints' lives,
"saints, hymns to",
"saints, prayers to",
salvation,
"salvation, enemies of",
"salvation, preaching to win",
sapientia,
Satan,
"Satan, lament of",
satire,
satires,
"Saturninus, saint, life of",
"Saunders, Laurence, of Coventry",
"Savage, Robert and Christine, of Busshead (Sussex)",
"Savile, Sir John",
"Savinian and Savina, saints",
"Schism, papal",
"Scholastica, saint, life of",
schoolbooks,
schoolboy exercises,
schoolboys,
schools/scholars,
Scotland,
"Scotland, Flodden, lament on",
Scots,
"Scots, against",
"Scots, battle actions",
"Scots, insults by, against the English",
"Scots, songs against",
"Scots, songs of",
scribes,
"scribes, prayers requested for",
"Scrope, lady",
"Scrope, Richard le, archbishop of York",
seasons,
"seasons, of church year",
"seasons, winter",
"Sebastian, saint",
secular saints,
security,
self knowledge,
"senses, five",
sentence,
sermon texts,
"sermon texts, Gospel",
"sermon texts, Old Testament",
sermons,
"sermons texts, Gospel",
"sermons, verse",
"sermons, verse in",transmission
"sermons, verses in",
servants,
"servants, advice to",
"servants, instructions to",
"servants, praise of",
seven cardinal virtues,
seven deadly sins,
seven-line,form
sex,
"Shavelocke, Joan",
"Shavelocke, Roger",
"Sheef, Thomas, goldsmith, d. 1483",
shoemakers,
"Sigismund, king of Hungary",
"Silverius, saint",
Simeon,
"Simnel, Lambert",
"Simon and Judas, saints, lives of",
"Simon and Jude, saints",
"Simon and Jude, saints, lives of",
Simon Magus,
simony,
"Simplice and Faustine, saints, lives of",
sin,
"sin, Adam's, curse caused by",
sinner,
"sinner, lament of",
sinners,
sinners' laments,
"sins, deadly",
sixteen-line,form
skeltonics,form
"Skevington, John",
"Skipwith, Richard, of St. Alban's",
"Sleepers, Seven, legend of",
sloth,
"Sluys, sea battle at",
"Slywright, William",
"Smith, John the, of Brightwell Baldwin (Oxon.)",
social comment,
Solomon,
"Somer, Henry",
"Somers, William, jeste",
songs,
"songs, drinking",
"songs, erotic",
"songs, popular",
"songs, soldiers'",
"songs, spiritual",
"sorrowful things, lists of",
"Sother, pope, life of",
soul,
"soul, pilgrimage of",
"Spaniards, defeat of",
"Sparrow, Thomas",
speech,
"speech, advice concerning",
"speech, truth-telling",
"Spenser, Joan",
"Sphinx, riddle of",
spring,
"spring, poems of",
"Spycere, Alys",
"Spycere, Jon",
"Spyeer, John, of Burford (Oxon.)",
"St. Augustine, rule of",
St. Gregory's Trental,
St. Valentine's Day,
"Stafford, family history",
"Standard, battle of the",
"Stanley, family history",
"Stanley, house of",
"Stanley, Thomas, baron",
"Stanley, William, sir",
"steadfastness, characteristics of",
"Stephen, King of England",
"Stephen, saint",
"Stephen, saint, life of",
"Steward, Bernard, lord of Aubigny",
"Stewart, Bernard, lord of Aubigny",
"Stokys, R., of Hampton-in-Arden (Warws.)",
stones,
"Street, Simon and Agnes, of London",
"Stubbe, Walter, of Buxton, Norfolk",
students,
"suffering, human",
summer,
summoners,
supernatural,
"superstitions, popular",
swearers,
"swearers, criticism of",
"swearing, against",
"Swithin, saint, life of",
"Sylvester, saint, life of",
"Sylvester, saints, life of",
"Syngor, master",
tailors,
"Talbot, John",
"tale, against",
tale-telling,
tales,
"tales, against",
"tales, beast",
"tales, comic",
"tales, religious didactic",
Taverner,
taxation,
"Teilo, saint, life of",
Templars,
temporality,
temptation,
Ten Commandments,
testaments,
"Thais, saint",
"Thais, saint, life of",
thanksgiving,
The Duke of Orleans' Defence of the Scots,
The Five Dogs of London,
The Game of Love,
The Seven Principal Virtues,
The White Benedictus,
"Thecla, saint, life of",
"Theobald, count",
Theobaldus of Champagne,
"Theodora, saint",
"Theodora, saint, life of",
"Theodosius, emperor",
"Theophilus, legend of",
"Theophilus, saint, legend of",
Theseus,
thieves,
"thieves, charms against",
"Thomas of Canterbury, saint",
"Thomas of Canterbury, saint, life of",
"Thomas of Canterbury, saint, miracles of",
"Thomas of Canterbury, saint, prayers to",
"Thomas of Canterbury, saint, song in honour of",
"Thomas the apostle, saint",
"Thomas the apostle, saint, life of",
"Thomas, Duke of Gloucester",
"Thomas, saint",
"Thorndon, Alys, of Frettenham (Norf.)",
three sorrowful things,
three-line,form
tidings,
time,
"time, use of",
tithes,
"Todenham, John",
tomb inscription,
"tongue, advice concerning use of",
"tongue, desctructive power of",
"tongue, destructive power of",
"tongue, hasty",
"tongue, wise use of",
"tongue, woman's",
"tools, carpenters'",
toothache,
"Tottenham (Gloucs.), feast of",
"Tottenham, (Gloucs.), tournament of",
tournaments,
"Tournay, siege of",
"Towton (Yorks.), battle of",
tragedy,
"Trajan, emperor",
"transcience, of earthly joy",
transience,
transience of fortune,
transitoriness,
transitoriness of life,
transitoriness of world,
"transitoriness, of earthly life",
"transitoriness, of earthly love",
"transitoriness, of lif",
"transitoriness, of life",
"transitoriness, of world",
translating,
translations,
transubstantiation,
travel poems,
"treatises, devotional",
Trental of St Gregory,
"Trevisa, verses in Polychronicon",
Trinity,
Trinity Sunday,
"Trinity, carols to",
"Trinity, devotion to",
"Trinity, feast of",
"Trinity, God in",
"Trinity, hymns to",
"Trinity, prayer to",
"Trinity, prayers to",
"Trinity, treatise on",
"Troilus and Cressida, story of",
"Troilus and Criseide, story of",
"Troilus and Criseyde, story of",
"Troy, legends of",
"Troy, Matter of",
"Troy, tales of",
truth,
"Tucke, William, book owner",
"Tudor, Jasper, duke of Bedford",
"Tudor, Margaret",
Tutivillus,
twelve-line,form
twins,
two-line,form
"Tylney, Sir Phillip",
"Udersall, Adam",
unfaithful,
"unstableness, of world",
urines,
"Ursula, saint",
"Ursula, saint, life of",
usury,
utilitarian instruction,
utilitarian instructions,
utilitarian verse,
"Valentine, saint",
"Valentine, saint, life of",
"vanity, against worldly",
"Vaux, Rowland, sir, of Triermaine",
Venerable Bede,
Venus,
"Vere, family of",
"Vernon, Alice",
Veronica's veil,
verse curse,
verse curses,
verse introductions,
verse sermons,
"Victor, William and Grace, of St. Alban's",
"Vincent, saint, life of",
virelais,
Virgin Mary,
"Virgin Mary and Christ, hymns/songs to",
"Virgin Mary and Christ, song/prayers to",
"Virgin Mary and Christ, songs/prayers to",
Virgin Mary and Joseph,
"Virgin Mary, aid to salvation",
"Virgin Mary, Annunciation to",
"Virgin Mary, appeal of, to the Jews",
"Virgin Mary, as speaker in debate",
"Virgin Mary, as speaker in debates",
"Virgin Mary, Assumption of",
"Virgin Mary, attributes of",
"Virgin Mary, carols to",
"Virgin Mary, compassion of",
"Virgin Mary, coronation of",
"Virgin Mary, dialogue, with Christ",
"Virgin Mary, hours of",
"Virgin Mary, hymns to",
"Virgin Mary, image of",
"Virgin Mary, invitation to man",
"Virgin Mary, joys o",
"Virgin Mary, joys of",
"Virgin Mary, joys to",
"Virgin Mary, lament of",
"Virgin Mary, life of",
"Virgin Mary, love of",
"Virgin Mary, lullay songs of",
"Virgin Mary, marriage of",
"Virgin Mary, miracles of",
"Virgin Mary, nativity of",
"Virgin Mary, praise of",
"Virgin Mary, praise to",
"Virgin Mary, prayer to",
"Virgin Mary, prayers to",
"Virgin Mary, Purification of",
"Virgin Mary, salutation to",
"Virgin Mary, songs in honor of",
"Virgin Mary, songs in honour o",
"Virgin Mary, songs in honour of",
"Virgin Mary, songs to",
"Virgin Mary, sorrows of",
"Virgin Mary, types of",
"Virgin Mary, verse in honour of",
virtue,
virtues,
"virtues, nine",
"virtues, principal",
"virtues, seven principal",
"virtues, theological",
visions,
"Vital, saint, life of",
"Wainfleet, William, Bishop of Winchester (1447-86)",
Wales,
"Wales, description of",
"Wallace, William",
"Wallace, William, sir",
"Walsingham, chapel of",
warfare,
warning against rash speech,
warnings,
"warnings, to sinners",
Wars of the Roses,
"Warwick, Richard Neville, Earl of",
Waterford (Ireland),
wealth,
"wealth, dangers of",
"wealth, evils of",
"wealth, inconstancy of",
"wealth, wise use of",
weather,
"Wells, John, of London",
"Wenlock, John le, of Luton (Beds.)",
"Wenlock, William, of Luton (Canon of St. Paul's)",
"Wentworth, William, mayor of London",
"Were, Robert",
"Wever, William, of London",
wheat,
"Whitby Haven, naval battle of, 1451",
Whitsunday,
"will, use of",
William Bromwell,
William the Conqueror,
Willoughby family,
"Willoughby, Margaret, of Raveningham, Norf.",
"Wilton, Henry and Margaret, of Norwich",
"Winchester, city of",
window inscription,
Windsor,
wine,
"wine, properties of",
"Winifred, saint",
"Winifred, saint, life of",
"Winifred, saint, prayer to",
winter,
wisdom,
wise men,
"wise men, qualities of",
"Wise Son, story of",
witches,
wits,
"wits, five",
"wits, five bodily",
wives,
"wives, choice of",
"wives, erring",
"wives, shrewish",
wolves,
women,
women as speakers/narrators,
"women, advice to",
"women, against",
"women, as speaker/narrators",
"women, as speakers/narrators",
"women, authors",
"women, canonesses",
"women, debates concerning",
"women, erring",
"women, faithlessness of",
"women, fickleness of",
"women, good qualities of",
"women, lack of discretion",
"women, praise of",
"women, satire directed against",
"women, unfaithfulness of",
"women, virtues of",
"women, warning to",
"women, warnings to",
"Woode, John",
"Woodford, Ralph",
"Woodville, Anthony, Lord Scales and second Earl Rivers",
wool,
Worcester,
"world, farewell to",
"world, renunciation of",
"world, untrustworthiness of",
"Worthies, Nine",
"Worthies, Nine, female",
"Worthies, three",
"Wryght, Sir Richard",
"Wulfhade and Ruffyn, saints",
"Wulfstan, saint, life of",
Wyclifite works,
York,
Yorkist lords,
"Yorkshire, rising in (1392)",
youth,
"youth, folly of",
"youth, warnings about",
zodiac,
